"codigo";"nivel";"descripcion"
450;"0720";"TEMAS TRANSVERSALES"
451;"0721";"TEORÍA DE LA EDUCACIÓN"
452;"0723";"CUADERNOS DE LENGUA ESO"
453;"0724";"CUADERNOS DE CALIGRAFÍA"
454;"0725";"CUADERNOS DE LECTO ESCRITURA PRIMARIA"
455;"0726";"CUADERNOS DE MATEMÁTICAS. BACHILLERATO"
456;"0727";"CUADERNOS DE MATEMÁTICAS. ESO"
457;"0728";"CUADERNOS DE MATEMÁTICAS. PRIMARIA"
458;"0729";"CUADERNOS DE ORTOGRAFÍA. PRIMARIA"
459;"0730";"CUADERNOS DE QUÍMICA. BACHILLERATO"
460;"0731";"CUADERNOS LECTO-ESCRITURA. INFANTIL"
461;"0732";"FICHAS Y MATERIAL DE APOYO"
462;"0733";"CUADERNOS DE APOYO"
463;"0734";"CUADERNOS DE FÍSICA QUIMICA. ESO"
464;"08";"LITERATURA Y ENSAYO"
465;"0801";"POESÍA"
466;"0802";"TEATRO"
467;"0831";"BIOGRAFÍAS"
468;"0840";"LITERATURA"
469;"0841";"LITERATURA EN ESPAÑOL"
470;"0842";"LITERATURA ANGLOSAJONA"
471;"0843";"LITERATURA FRANCESA"
472;"0844";"LITERATURA ITALIANA"
473;"0845";"LITERATURA ALEMANA"
474;"0846";"LITERATURA ARABE"
475;"0847";"LITERATURA EN OTRAS LENGUAS"
476;"0848";"CLÁSICOS UNIVERSALES"
477;"0849";"EDICIONES COMENTADAS"
478;"0850";"CLÁSICOS LATINOS Y GRIEGOS"
479;"0851";"INTRIGA Y POLICIACA"
480;"0852";"CIENCIA FICCIÓN"
481;"0853";"TERROR"
482;"0854";"FANTÁSTICA"
483;"0855";"LITERATURA HISTÓRICA"
484;"0856";"LITERATURA DE VIAJES"
485;"0857";"LITERATURA ORAL"
486;"0858";"LITERATURA ERÓTICA"
487;"0859";"LITERATURA ORIENTAL"
488;"0871";"ENSAYOS CIENTÍFICOS"
489;"0872";"ENSAYOS FILOSÓFICOS"
490;"0873";"ENSAYOS HISTÓRICOS"
491;"0874";"ENSAYOS SOCIOLÓGICO Y DE ACTUALIDAD"
492;"0875";"ILUSTRADOS"
493;"09";"INFANTIL"
494;"0901";"HASTA 3 AÑOS"
495;"0902";"A PARTIR DE 3 AÑOS"
496;"0903";"A PARTIR DE 6 AÑOS"
497;"0904";"A PARTIR DE 8 AÑOS"
498;"0906";"A PARTIR DE 10 AÑOS"
499;"0909";"ARTE PARA EMPEZAR"
500;"0914";"INFANTIL"
501;"0915";"INFORMATIVOS"
502;"0916";"JUEGOS DE MESA"
503;"0919";"MÓVILES Y SONIDOS"
504;"0920";"MANUALIDADES"
505;"0922";"POESÍA PARA NIÑOS"
506;"0923";"TEATRO INFANTIL"
507;"0924";"INTERCULTURALIDAD"
508;"10";"VIAJES"
509;"1001";"GUÍAS DE VIAJES"
510;"1002";"A PARTIR DE 14 AÑOS"
511;"1003";"A PARTIR DE 16 AÑOS"
512;"1004";"CLÁSICOS PARA JÓVENES"
513;"11";"AUTOAYUDA"
514;"1101";"ESCUELA DE PADRES"
515;"1102";"EMBARAZO Y PARTO"
516;"1103";"ADOPCIÓN"
517;"1104";"SEPARACIÓN Y DIVIORCIO"
518;"1105";"AUTOAYUDA"
519;"12";"TEMAS LOCALES"
520;"1201";"TEMAS MALAGUEÑOS Y ANDALUCES"
521;"13";"HUMANIDADES"
522;"1301";"FILOSOFIA"
523;"1302";"FILOLOGIA"
524;"1303";"HISTORIA"
525;"1304";"SOCIOLOGIA"
526;"1305";"ANTROPOLOGIA"
527;"1306";"DERECHO"
528;"14";"DICCIONARIOS"
529;"1402";"DICCIONARIOS Y ENCICLOPEDIAS"
530;"20";"COMICS"
531;"52";"OPOSICIONES"
532;"5201";"TEMARIOS DE OPOSICIONES"
533;"60";"OCIO"
534;"6001";"COCINA Y VINOS"
535;"6002";"MANUALIDADES"
536;"6003";"JARDINERÍA"
537;"6004";"GUÍAS DE NATURALEZA"
538;"6005";"YOGA Y PILATES"
539;"6006";"GUÍAS DE VIAJES"
540;"6007";"PUERICULTURA"
541;"80";"OTROS TEMAS"
542;"8001";"DEPORTES"
543;"8002";"BIBLIOGRAFÍA"
544;"8003";"INFORMÁTICA"
545;"8004";"ECONOMÍA"
546;"8006";"EMPRESA"
547;"8007";"GESTIÓN TURÍSTICA"
548;"81";"LIBROS DE TEXTO"
549;"8101";"INFANTIL Y PRIMARIA"
550;"8102";"ESO (SECUNDARIA OBLIGATORIA)"
551;"8103";"BACHILLERATO"
552;"8104";"CICLOS FORMATIVOS"
553;"8105";"ESA (SECUNDARIA DE ADULTOS)"
554;"82";"CIENCIAS"
555;"8201";"OTROS"
556;"8202";"URBANISMO"
557;"8203";"ARQUITECTURA"
558;"8204";"ARQUEOLOGIA"
559;"8205";"MATEMATICAS"
560;"8206";"ESTADISTICAS"
561;"8207";"ASTRONOMIA"
562;"8208";"FISICA"
563;"8209";"QUIMICA"
564;"8210";"ECOLOGIA"
565;"8211";"BIOLOGIA"
566;"8212";"MUNDO ANIMAL"
567;"8213";"MUNDO VEGETAL"
568;"8214";"INGENIERIA"
569;"8215";"GEOGRAFIA"
570;"8216";"MINERALES"
571;"8217";"ATLAS"
572;"8218";"AGRICULTURA"
573;"8219";"CONSTRUCCION"
574;"8220";"ELECTRICIDAD"
575;"8221";"MEDICINA"
